28,079,099,01,38,02,2016,08,04,00005,V,00005,V,00005,V,00005,V,00005,V,00006,V,00006,V,00006,V,00007,V,00007,V,00006,V,00006,V,00005,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,06,48,02,2016,08,04,000.3,V,000.3,V,000.3,V,000.3,V,000.2,V,000.2,V,000.2,V,000.4,V,000.4,V,000.7,V,000.4,V,000.3,V,000.3,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,07,08,02,2016,08,04,00003,V,00002,V,00002,V,00002,V,00003,V,00006,V,00008,V,00030,V,00049,V,00031,V,00023,V,00015,V,00008,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,08,08,02,2016,08,04,00041,V,00033,V,00030,V,00030,V,00029,V,00026,V,00038,V,00067,V,00082,V,00076,V,00072,V,00061,V,00039,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,09,47,02,2016,08,04,00015,V,00012,V,00011,V,00008,V,00007,V,00007,V,00009,V,00007,V,00010,V,00015,V,00015,V,00014,V,00014,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,10,47,02,2016,08,04,00030,V,00028,V,00024,V,00021,V,00018,V,00015,V,00020,V,00024,V,00035,V,00040,V,00038,V,00037,V,00029,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,12,08,02,2016,08,04,00046,V,00036,V,00033,V,00034,V,00033,V,00035,V,00050,V,00112,V,00156,V,00124,V,00108,V,00085,V,00051,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,14,06,02,2016,08,04,00083,V,00080,V,00072,V,00064,V,00063,V,00067,V,00053,V,00027,V,00024,V,00033,V,00050,V,00082,V,00120,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,20,59,02,2016,08,04,002.2,V,002.5,V,005.6,V,009.4,V,007.2,V,003.2,V,003.0,V,004.5,V,006.5,V,006.0,V,005.2,V,005.3,V,003.9,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,30,59,02,2016,08,04,000.5,V,000.4,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,000.3,V,001.0,V,001.2,V,000.9,V,000.8,V,000.6,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,35,59,02,2016,08,04,000.2,V,000.3,V,001.0,V,004.7,V,001.5,V,000.8,V,000.5,V,000.3,V,000.9,V,001.2,V,000.9,V,000.7,V,000.4,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,42,02,02,2016,08,04,01.32,V,01.32,V,01.45,V,01.42,V,01.38,V,01.39,V,01.43,V,01.42,V,01.47,V,01.45,V,01.50,V,01.42,V,01.35,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,43,02,02,2016,08,04,01.20,V,01.20,V,01.20,V,01.24,V,01.24,V,01.24,V,01.29,V,01.28,V,01.25,V,01.29,V,01.34,V,01.29,V,01.23,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,44,02,02,2016,08,04,00.13,V,00.12,V,00.24,V,00.18,V,00.13,V,00.15,V,00.14,V,00.14,V,00.22,V,00.15,V,00.16,V,00.13,V,00.12,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,80,98,02,2016,08,04,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00004,V,00018,V,00047,V,00088,V,00123,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,81,98,02,2016,08,04,00.95,V,00.88,V,00.82,V,00.53,V,00.71,V,00.64,V,00.54,V,00.51,V,00.48,V,00.65,V,00.79,V,00.79,V,01.44,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,82,98,02,2016,08,04,00204,V,00185,V,00241,V,00233,V,00221,V,00247,V,00205,V,00152,V,00237,V,00212,V,00221,V,00234,V,00277,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,83,98,02,2016,08,04,028.2,V,027.6,V,026.9,V,026.1,V,025.4,V,025.1,V,024.3,V,023.3,V,024.3,V,025.9,V,027.7,V,030.2,V,032.0,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
28,079,099,86,98,02,2016,08,04,00031,V,00033,V,00034,V,00037,V,00038,V,00039,V,00041,V,00043,V,00040,V,00038,V,00035,V,00031,V,00029,V,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N,00000,N
